athlete_id,filename,technique,condition,trial,source_path,n_points,n_frames,rate_hz,units_pos,units_angle,units_force,units_moment,units_power,analog_used,n_anatomical,n_derived,n_tarcza,n_prefixed,subjects,prefixes
B0377,2017-02-20-B0377-S03-E03-T01.c3d,S03,E03,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E03-T01.c3d,382,2679,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S03-E03-T02.c3d,S03,E03,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E03-T02.c3d,382,2260,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S03-E04-T01.c3d,S03,E04,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E04-T01.c3d,382,3215,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S03-E04-T02.c3d,S03,E04,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S03\2017-02-20-B0377-S03-E04-T02.c3d,382,1732,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0377', 'B0376']","['B0377', 'B0376']"
B0377,2017-02-20-B0377-S04-E01-T01.c3d,S04,E01,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E01-T01.c3d,191,1916,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S04-E01-T02.c3d,S04,E01,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E01-T02.c3d,191,1872,250.0,mm,deg,N,Nmm,W,0,117,74,0,0,['B0377'],['B0377']
B0377,2017-02-20-B0377-S04-E02-T01.c3d,S04,E02,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E02-T01.c3d,195,1880,250.0,mm,deg,N,Nmm,W,0,0,74,4,195,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S04-E02-T02.c3d,S04,E02,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E02-T02.c3d,119,1745,250.0,mm,deg,N,Nmm,W,0,0,74,4,119,"['Tarcza', 'B0377']","['Tarcza', 'B0377']"
B0377,2017-02-20-B0377-S04-E03-T01.c3d,S04,E03,T01,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E03-T01.c3d,382,2269,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
B0377,2017-02-20-B0377-S04-E03-T02.c3d,S04,E03,T02,D:\ECOTEC_Data_Solutions_2022\ECOTEC-2026\Deporte_sensores\atletas\B0377\2017-02-20-B0377-S04\2017-02-20-B0377-S04-E03-T02.c3d,382,2160,250.0,mm,deg,N,Nmm,W,0,0,25,0,255,"['B0378', 'B0377']","['B0378', 'B0377']"
